Wavelength(nm)	n	k
2.11000e+03	3.46987e+00	5.03000e-08
2.12000e+03	3.46987e+00	5.10000e-08
2.13000e+03	3.46987e+00	5.18000e-08
2.14000e+03	3.46987e+00	5.25000e-08
2.15000e+03	3.46987e+00	5.33000e-08
2.16000e+03	3.46987e+00	5.41000e-08
2.17000e+03	3.46987e+00	5.48000e-08
2.18000e+03	3.46987e+00	5.56000e-08
2.19000e+03	3.46987e+00	5.64000e-08
2.20000e+03	3.46987e+00	5.72000e-08
2.21000e+03	3.46987e+00	5.80000e-08
2.22000e+03	3.46987e+00	5.88000e-08
2.23000e+03	3.46987e+00	5.97000e-08
2.24000e+03	3.46987e+00	6.05000e-08
2.25000e+03	3.46987e+00	6.14000e-08
2.26000e+03	3.46987e+00	6.22000e-08
2.27000e+03	3.46987e+00	6.31000e-08
2.28000e+03	3.46987e+00	6.39000e-08
2.29000e+03	3.46987e+00	6.48000e-08
2.30000e+03	3.46987e+00	6.57000e-08
2.31000e+03	3.46987e+00	6.66000e-08
2.32000e+03	3.46987e+00	6.75000e-08
2.33000e+03	3.46987e+00	6.84000e-08
2.34000e+03	3.46987e+00	6.93000e-08
2.35000e+03	3.46987e+00	7.02000e-08
2.36000e+03	3.46987e+00	7.12000e-08
2.37000e+03	3.46987e+00	7.21000e-08
2.38000e+03	3.46987e+00	7.31000e-08
2.39000e+03	3.46987e+00	7.40000e-08
2.40000e+03	3.46987e+00	7.50000e-08
2.41000e+03	3.46987e+00	7.60000e-08
2.42000e+03	3.46987e+00	7.70000e-08
2.43000e+03	3.46987e+00	7.80000e-08
2.44000e+03	3.46987e+00	7.90000e-08
2.45000e+03	3.46987e+00	8.00000e-08
2.46000e+03	3.46987e+00	8.10000e-08
2.47000e+03	3.46987e+00	8.20000e-08
2.48000e+03	3.46987e+00	8.31000e-08
2.49000e+03	3.46987e+00	8.41000e-08
2.50000e+03	3.46987e+00	8.52000e-08
2.51000e+03	3.46987e+00	8.63000e-08
2.52000e+03	3.46987e+00	8.74000e-08
2.53000e+03	3.46987e+00	8.84000e-08
2.54000e+03	3.46987e+00	8.95000e-08
2.55000e+03	3.46987e+00	9.07000e-08
2.56000e+03	3.46987e+00	9.18000e-08
2.57000e+03	3.46987e+00	9.29000e-08
2.58000e+03	3.46987e+00	9.40000e-08
2.59000e+03	3.46987e+00	9.52000e-08
2.60000e+03	3.46987e+00	9.64000e-08
2.61000e+03	3.46986e+00	9.75000e-08
2.62000e+03	3.46986e+00	9.87000e-08
2.63000e+03	3.46986e+00	9.99000e-08
2.64000e+03	3.46986e+00	1.01100e-07
2.65000e+03	3.46986e+00	1.02300e-07
2.66000e+03	3.46986e+00	1.03500e-07
2.67000e+03	3.46986e+00	1.04800e-07
2.68000e+03	3.46986e+00	1.06000e-07
2.69000e+03	3.46986e+00	1.07200e-07
2.70000e+03	3.46986e+00	1.08500e-07
2.71000e+03	3.46986e+00	1.09800e-07
2.72000e+03	3.46986e+00	1.11100e-07
2.73000e+03	3.46986e+00	1.12400e-07
2.74000e+03	3.46986e+00	1.13700e-07
2.75000e+03	3.46986e+00	1.15000e-07
2.76000e+03	3.46986e+00	1.16300e-07
2.77000e+03	3.46986e+00	1.17600e-07
2.78000e+03	3.46986e+00	1.19000e-07
2.79000e+03	3.46986e+00	1.20400e-07
2.80000e+03	3.46986e+00	1.21700e-07
2.81000e+03	3.46986e+00	1.23100e-07
2.82000e+03	3.46986e+00	1.24500e-07
2.83000e+03	3.46986e+00	1.25900e-07
2.84000e+03	3.46986e+00	1.27300e-07
2.85000e+03	3.46986e+00	1.28700e-07
2.86000e+03	3.46986e+00	1.30200e-07
2.87000e+03	3.46986e+00	1.31600e-07
2.88000e+03	3.46986e+00	1.33100e-07
2.89000e+03	3.46986e+00	1.34600e-07
2.90000e+03	3.46986e+00	1.36100e-07
2.91000e+03	3.46986e+00	1.37600e-07
2.92000e+03	3.46986e+00	1.39100e-07
2.93000e+03	3.46986e+00	1.40600e-07
2.94000e+03	3.46986e+00	1.42100e-07
2.95000e+03	3.46986e+00	1.43700e-07
2.96000e+03	3.46986e+00	1.45200e-07
2.97000e+03	3.46986e+00	1.46800e-07
2.98000e+03	3.46986e+00	1.48400e-07
2.99000e+03	3.46986e+00	1.50000e-07
3.00000e+03	3.46986e+00	1.51600e-07
3.01000e+03	3.46986e+00	1.53200e-07
3.02000e+03	3.46986e+00	1.54800e-07
3.03000e+03	3.46986e+00	1.56500e-07
3.04000e+03	3.46986e+00	1.58100e-07
3.05000e+03	3.46986e+00	1.59800e-07
3.06000e+03	3.46986e+00	1.61500e-07
3.07000e+03	3.46986e+00	1.63200e-07
3.08000e+03	3.46986e+00	1.64900e-07
3.09000e+03	3.46986e+00	1.66600e-07
3.10000e+03	3.46986e+00	1.68300e-07
3.11000e+03	3.46986e+00	1.70100e-07
3.12000e+03	3.46986e+00	1.71900e-07
3.13000e+03	3.46986e+00	1.73600e-07
3.14000e+03	3.46986e+00	1.75400e-07
3.15000e+03	3.46986e+00	1.77200e-07
3.16000e+03	3.46986e+00	1.79000e-07
3.17000e+03	3.46986e+00	1.80900e-07
3.18000e+03	3.46986e+00	1.82700e-07
3.19000e+03	3.46986e+00	1.84600e-07
3.20000e+03	3.46986e+00	1.86400e-07
3.21000e+03	3.46986e+00	1.88300e-07
3.22000e+03	3.46986e+00	1.90200e-07
3.23000e+03	3.46986e+00	1.92100e-07
3.24000e+03	3.46986e+00	1.94100e-07
3.25000e+03	3.46986e+00	1.96000e-07
3.26000e+03	3.46986e+00	1.98000e-07
3.27000e+03	3.46986e+00	1.99900e-07
3.28000e+03	3.46986e+00	2.01900e-07
3.29000e+03	3.46986e+00	2.03900e-07
3.30000e+03	3.46986e+00	2.05900e-07
3.31000e+03	3.46986e+00	2.07900e-07
3.32000e+03	3.46986e+00	2.10000e-07
3.33000e+03	3.46986e+00	2.12000e-07
3.34000e+03	3.46986e+00	2.14100e-07
3.35000e+03	3.46986e+00	2.16200e-07
3.36000e+03	3.46986e+00	2.18300e-07
3.37000e+03	3.46986e+00	2.20400e-07
3.38000e+03	3.46986e+00	2.22600e-07
3.39000e+03	3.46986e+00	2.24700e-07
3.40000e+03	3.46986e+00	2.26900e-07
3.41000e+03	3.46986e+00	2.29000e-07
3.42000e+03	3.46986e+00	2.31200e-07
3.43000e+03	3.46986e+00	2.33400e-07
3.44000e+03	3.46986e+00	2.35700e-07
3.45000e+03	3.46986e+00	2.37900e-07
3.46000e+03	3.46986e+00	2.40200e-07
3.47000e+03	3.46986e+00	2.42400e-07
3.48000e+03	3.46986e+00	2.44700e-07
3.49000e+03	3.46986e+00	2.47000e-07
3.50000e+03	3.46986e+00	2.49400e-07
3.51000e+03	3.46986e+00	2.51700e-07
3.52000e+03	3.46986e+00	2.54100e-07
3.53000e+03	3.46986e+00	2.56400e-07
3.54000e+03	3.46986e+00	2.58800e-07
3.55000e+03	3.46986e+00	2.61200e-07
3.56000e+03	3.46986e+00	2.63600e-07
3.57000e+03	3.46986e+00	2.66100e-07
3.58000e+03	3.46986e+00	2.68500e-07
3.59000e+03	3.46986e+00	2.71000e-07
3.60000e+03	3.46986e+00	2.73500e-07
3.61000e+03	3.46986e+00	2.76000e-07
3.62000e+03	3.46986e+00	2.78500e-07
3.63000e+03	3.46986e+00	2.81100e-07
3.64000e+03	3.46986e+00	2.83600e-07
3.65000e+03	3.46986e+00	2.86200e-07
3.66000e+03	3.46986e+00	2.88800e-07
3.67000e+03	3.46986e+00	2.91400e-07
3.68000e+03	3.46986e+00	2.94100e-07
3.69000e+03	3.46986e+00	2.96700e-07
3.70000e+03	3.46986e+00	2.99400e-07
3.71000e+03	3.46986e+00	3.02100e-07
3.72000e+03	3.46986e+00	3.04800e-07
3.73000e+03	3.46986e+00	3.07500e-07
3.74000e+03	3.46986e+00	3.10200e-07
3.75000e+03	3.46986e+00	3.13000e-07
3.76000e+03	3.46986e+00	3.15800e-07
3.77000e+03	3.46986e+00	3.18600e-07
3.78000e+03	3.46986e+00	3.21400e-07
3.79000e+03	3.46986e+00	3.24200e-07
3.80000e+03	3.46986e+00	3.27100e-07
3.81000e+03	3.46986e+00	3.29900e-07
3.82000e+03	3.46986e+00	3.32800e-07
3.83000e+03	3.46986e+00	3.35700e-07
3.84000e+03	3.46986e+00	3.38700e-07
3.85000e+03	3.46986e+00	3.41600e-07
3.86000e+03	3.46986e+00	3.44600e-07
3.87000e+03	3.46986e+00	3.47600e-07
3.88000e+03	3.46986e+00	3.50600e-07
3.89000e+03	3.46986e+00	3.53600e-07
3.90000e+03	3.46986e+00	3.56700e-07
3.91000e+03	3.46986e+00	3.59700e-07
3.92000e+03	3.46986e+00	3.62800e-07
3.93000e+03	3.46986e+00	3.65900e-07
3.94000e+03	3.46986e+00	3.69100e-07
3.95000e+03	3.46986e+00	3.72200e-07
3.96000e+03	3.46986e+00	3.75400e-07
3.97000e+03	3.46986e+00	3.78600e-07
3.98000e+03	3.46986e+00	3.81800e-07
3.99000e+03	3.46986e+00	3.85100e-07
4.00000e+03	3.46986e+00	3.88300e-07
4.01000e+03	3.46986e+00	3.91600e-07
4.02000e+03	3.46986e+00	3.94900e-07
4.03000e+03	3.46986e+00	3.98200e-07
4.04000e+03	3.46986e+00	4.01600e-07
4.05000e+03	3.46986e+00	4.04900e-07
4.06000e+03	3.46986e+00	4.08300e-07
4.07000e+03	3.46986e+00	4.11700e-07
4.08000e+03	3.46986e+00	4.15200e-07
4.09000e+03	3.46986e+00	4.18600e-07
4.10000e+03	3.46986e+00	4.22100e-07
4.11000e+03	3.46986e+00	4.25600e-07
4.12000e+03	3.46986e+00	4.29100e-07
4.13000e+03	3.46986e+00	4.32700e-07
4.14000e+03	3.46986e+00	4.36200e-07
4.15000e+03	3.46986e+00	4.39800e-07
4.16000e+03	3.46986e+00	4.43400e-07
4.17000e+03	3.46986e+00	4.47100e-07
4.18000e+03	3.46986e+00	4.50800e-07
4.19000e+03	3.46986e+00	4.54400e-07
4.20000e+03	3.46986e+00	4.58200e-07
4.21000e+03	3.46986e+00	4.61900e-07
4.22000e+03	3.46986e+00	4.65600e-07
4.23000e+03	3.46986e+00	4.69400e-07
4.24000e+03	3.46986e+00	4.73200e-07
