Wavelength(nm)	n	k
250	2.90000000000000	2.87112000000000
260	2.90000000000000	3.19456000000000
270	2.90000000000000	3.67664000000000
280	2.90000000000000	4.15688000000000
290	2.90000000000000	4.24992000000000
300	2.90000000000000	3.43200000000000
310	2.90000000000000	2.89912000000000
320	2.90000000000000	2.62592000000000
330	2.90000000000000	2.47480000000000
340	2.90000000000000	2.36584000000000
350	2.90000000000000	2.32624000000000
360	2.90000000000000	2.33080000000000
370	2.90000000000000	1.71224000000000
380	2.90000000000000	0.787192000000000
390	2.90000000000000	0.402464000000000
400	2.90000000000000	0.261016000000000
410	2.90000000000000	0.193016000000000
420	2.90000000000000	0.141552000000000
430	2.90000000000000	0.110128000000000
440	2.90000000000000	0.0896080000000000
450	2.90000000000000	0.0762896000000000
460	2.90000000000000	0.0632840000000000
470	2.90000000000000	0.0561920000000000
480	2.90000000000000	0.0478536000000000
490	2.90000000000000	0.0430480000000000
500	2.90000000000000	0.0388336000000000
510	2.90000000000000	0.0350648000000000
520	2.90000000000000	0.0316248000000000
530	2.90000000000000	0.0278432000000000
540	2.90000000000000	0.0239168000000000
550	2.90000000000000	0.0224304000000000
560	2.90000000000000	0.0212408000000000
570	2.90000000000000	0.0189968000000000
580	2.90000000000000	0.0175168000000000
590	2.90000000000000	0.0160608000000000
600	2.90000000000000	0.0148168000000000
610	2.90000000000000	0.0138056000000000
620	2.90000000000000	0.0134472000000000
630	2.90000000000000	0.0130144000000000
640	2.90000000000000	0.0117544000000000
650	2.90000000000000	0.0115576000000000
660	2.90000000000000	0.0108864000000000
670	2.90000000000000	0.0102456000000000
680	2.90000000000000	0.00963600000000000
690	2.90000000000000	0.00905360000000000
700	2.90000000000000	0.00849840000000000
710	2.90000000000000	0.00796880000000000
720	2.90000000000000	0.00746680000000000
730	2.90000000000000	0.00698496000000000
740	2.90000000000000	0.00652944000000000
750	2.90000000000000	0.00609248000000000
760	2.90000000000000	0.00567536000000000
770	2.90000000000000	0.00528432000000000
780	2.90000000000000	0.00490704000000000
790	2.90000000000000	0.00455104000000000
800	2.90000000000000	0.00421240000000000
810	2.90000000000000	0.00389120000000000
820	2.90000000000000	0.00358688000000000
830	2.90000000000000	0.00329880000000000
840	2.90000000000000	0.00302624000000000
850	2.90000000000000	0.00276840000000000
860	2.90000000000000	0.00252504000000000
870	2.90000000000000	0.00229576000000000
880	2.90000000000000	0.00208008000000000
890	2.90000000000000	0.00187712000000000
900	2.90000000000000	0.00168736000000000
910	2.90000000000000	0.00150912000000000
920	2.90000000000000	0.00134296000000000
930	2.90000000000000	0.00118056000000000
940	2.90000000000000	0.00104488000000000
950	2.90000000000000	0.000911440000000000
960	2.90000000000000	0.000785944000000000
970	2.90000000000000	0.000672480000000000
980	2.90000000000000	0.000570672000000000
990	2.90000000000000	0.000477104000000000
1000	2.90000000000000	0.000392160000000000
1010	2.90000000000000	0.000316928000000000
1020	2.90000000000000	0.000251496000000000
1030	2.90000000000000	0.000192384000000000
1040	2.90000000000000	0.000143672000000000
1050	2.90000000000000	0.000104344000000000
1060	2.90000000000000	7.39600000000000e-05
1070	2.90000000000000	5.42560000000000e-05
1080	2.90000000000000	4.17344000000000e-05
1090	2.90000000000000	3.18160000000000e-05
1100	2.90000000000000	2.41736000000000e-05
1110	2.90000000000000	1.83304000000000e-05
1120	2.90000000000000	1.36544000000000e-05
1130	2.90000000000000	9.90560000000000e-06
1140	2.90000000000000	6.89680000000000e-06
1150	2.90000000000000	4.55008000000000e-06
1160	2.90000000000000	2.74200000000000e-06
1170	2.90000000000000	1.41224000000000e-06
1180	2.90000000000000	4.44488000000000e-07
1190	2.90000000000000	1.85224000000000e-07
1200	2.90000000000000	1.11232000000000e-07
1210	2.90000000000000	6.46904000000000e-08
1220	2.90000000000000	3.83520000000000e-08
1230	2.90000000000000	2.17056000000000e-08
1240	2.90000000000000	1.14544000000000e-08
1250	2.90000000000000	4.70384000000000e-09
1260	2.90000000000000	1.86816000000000e-09
1270	2.90000000000000	1.01712000000000e-09
1280	2.90000000000000	6.02272000000000e-10
1290	2.90000000000000	3.58392000000000e-10
1300	2.90000000000000	2.17824000000000e-10
1310	2.90000000000000	1.26848000000000e-10
1320	2.90000000000000	6.97568000000000e-11
1330	2.90000000000000	3.36312000000000e-11
1340	2.90000000000000	1.45024000000000e-11
1350	2.90000000000000	8.34240000000000e-12
1360	2.90000000000000	5.03288000000000e-12
1370	2.90000000000000	3.12240000000000e-12
1380	2.90000000000000	2.10936000000000e-12
1390	2.90000000000000	1.39016000000000e-12
1400	2.90000000000000	8.34240000000000e-13
1410	2.90000000000000	4.83376000000000e-13
1420	2.90000000000000	3.43160000000000e-13
1430	2.90000000000000	1.63048000000000e-13
1440	2.90000000000000	1.10280000000000e-13
1450	2.90000000000000	8.72080000000000e-14
2000	2.90000000000000	3.40800000000000e-08
2010	2.90000000000000	3.46400000000000e-08
2020	2.90000000000000	3.51200000000000e-08
2030	2.90000000000000	3.56800000000000e-08
2040	2.90000000000000	3.62400000000000e-08
2050	2.90000000000000	3.68000000000000e-08
2060	2.90000000000000	3.73600000000000e-08
2070	2.90000000000000	3.79200000000000e-08
2080	2.90000000000000	3.84800000000000e-08
2090	2.90000000000000	3.90400000000000e-08
2100	2.90000000000000	3.96000000000000e-08
2110	2.90000000000000	4.02400000000000e-08
2120	2.90000000000000	4.08000000000000e-08
2130	2.90000000000000	4.14400000000000e-08
2140	2.90000000000000	4.20000000000000e-08
2150	2.90000000000000	4.26400000000000e-08
2160	2.90000000000000	4.32800000000000e-08
2170	2.90000000000000	4.38400000000000e-08
2180	2.90000000000000	4.44800000000000e-08
2190	2.90000000000000	4.51200000000000e-08
2200	2.90000000000000	4.57600000000000e-08
2210	2.90000000000000	4.64000000000000e-08
2220	2.90000000000000	4.70400000000000e-08
2230	2.90000000000000	4.77600000000000e-08
2240	2.90000000000000	4.84000000000000e-08
2250	2.90000000000000	4.91200000000000e-08
2260	2.90000000000000	4.97600000000000e-08
2270	2.90000000000000	5.04800000000000e-08
2280	2.90000000000000	5.11200000000000e-08
2290	2.90000000000000	5.18400000000000e-08
2300	2.90000000000000	5.25600000000000e-08
2310	2.90000000000000	5.32800000000000e-08
2320	2.90000000000000	5.40000000000000e-08
2330	2.90000000000000	5.47200000000000e-08
2340	2.90000000000000	5.54400000000000e-08
2350	2.90000000000000	5.61600000000000e-08
2360	2.90000000000000	5.69600000000000e-08
2370	2.90000000000000	5.76800000000000e-08
2380	2.90000000000000	5.84800000000000e-08
2390	2.90000000000000	5.92000000000000e-08
2400	2.90000000000000	6.00000000000000e-08
2410	2.90000000000000	6.08000000000000e-08
2420	2.90000000000000	6.16000000000000e-08
2430	2.90000000000000	6.24000000000000e-08
2440	2.90000000000000	6.32000000000000e-08
2450	2.90000000000000	6.40000000000000e-08
2460	2.90000000000000	6.48000000000000e-08
2470	2.90000000000000	6.56000000000000e-08
2480	2.90000000000000	6.64800000000000e-08
2490	2.90000000000000	6.72800000000000e-08
2500	2.90000000000000	6.81600000000000e-08
2510	2.90000000000000	6.90400000000000e-08
2520	2.90000000000000	6.99200000000000e-08
2530	2.90000000000000	7.07200000000000e-08
2540	2.90000000000000	7.16000000000000e-08
2550	2.90000000000000	7.25600000000000e-08
2560	2.90000000000000	7.34400000000000e-08
2570	2.90000000000000	7.43200000000000e-08
2580	2.90000000000000	7.52000000000000e-08
2590	2.90000000000000	7.61600000000000e-08
2600	2.90000000000000	7.71200000000000e-08
2610	2.90000000000000	7.80000000000000e-08
2620	2.90000000000000	7.89600000000000e-08
2630	2.90000000000000	7.99200000000000e-08
2640	2.90000000000000	8.08800000000000e-08
2650	2.90000000000000	8.18400000000000e-08
2660	2.90000000000000	8.28000000000000e-08
2670	2.90000000000000	8.38400000000000e-08
2680	2.90000000000000	8.48000000000000e-08
2690	2.90000000000000	8.57600000000000e-08
2700	2.90000000000000	8.68000000000000e-08
2710	2.90000000000000	8.78400000000000e-08
2720	2.90000000000000	8.88800000000000e-08
2730	2.90000000000000	8.99200000000000e-08
2740	2.90000000000000	9.09600000000000e-08
2750	2.90000000000000	9.20000000000000e-08
2760	2.90000000000000	9.30400000000000e-08
2770	2.90000000000000	9.40800000000000e-08
2780	2.90000000000000	9.52000000000000e-08
2790	2.90000000000000	9.63200000000000e-08
2800	2.90000000000000	9.73600000000000e-08
2810	2.90000000000000	9.84800000000000e-08
2820	2.90000000000000	9.96000000000000e-08
2830	2.90000000000000	1.00720000000000e-07
2840	2.90000000000000	1.01840000000000e-07
2850	2.90000000000000	1.02960000000000e-07
2860	2.90000000000000	1.04160000000000e-07
2870	2.90000000000000	1.05280000000000e-07
2880	2.90000000000000	1.06480000000000e-07
2890	2.90000000000000	1.07680000000000e-07
2900	2.90000000000000	1.08880000000000e-07
2910	2.90000000000000	1.10080000000000e-07
2920	2.90000000000000	1.11280000000000e-07
2930	2.90000000000000	1.12480000000000e-07
2940	2.90000000000000	1.13680000000000e-07
2950	2.90000000000000	1.14960000000000e-07
2960	2.90000000000000	1.16160000000000e-07
2970	2.90000000000000	1.17440000000000e-07
2980	2.90000000000000	1.18720000000000e-07
